The boy that_the girl helped got an A on the test
The clerk that_the boss liked had a desk by the window
The guest that_the host kissed brought a cake to the party
The priest that_the nun thanked left the church in a hurry
The thief that_the guard saw had a gun in his holster
The crook that_the thief warned fled the town the next morning
The knight that_the king helped sent a gift from his castle
The cop that_the spy met wrote a book about the case
The nurse that_the coach blamed checked the file of the gymnast
The count that_the queen knew owned a castle by the lake
The scout that_the coach punched had a fight with a manager
The cat that_the dog fought licked its wounds in the corner
The whale that_the shark bit won the fight in the end
The maid that_the chef loved quit the job at the house
The bum that_the cop scared crossed the street at the light
The man that_the nurse phoned left his pills at the office
The priest that_the cook paid signed the check at the bank
The dean that_the guard heard made a call about the matter
The friend that_the bride teased told a joke about the past
The fox that_the wolf chased hurt its paws on the way
The groom that_the aunt charmed raised a toast to the parents
The nun that_the monk blessed lit a candle on the table
The guy that_the judge thanked left the room with a smile
The king that_the guest pleased poured the wine from the jug
The girl that_the nerd thanked broke the vase with the flowers
The owl that_the bat scared made a loop in the air
The car that_the truck pulled had a scratch on the door
The rod that_the pipe bent had a hole in the middle
The hat that_the skirt matched had a bow in the back
The niece that_the aunt kissed sang a song for the guests
The boat that_the yacht chased made a turn at the boathouse
The desk that_the bed scratched was too old to be moved
The cook that_the maid hugged had a tear on her cheek
The boss that_the clerk mocked had a crush on the intern
The fruit that_the cake squashed made a mess in the bag
The dean that_the boy called had a voice full of anger
The thug that_the man saw had a hat on his head
The truck that_the car bumped had a man at the wheel
The prince that_the girl helped had a head of blonde hair
The bug that_the ant attacked was as big as a coin
The shelf that_the piano bumped had some dust on its top
The tradie that_the man thanked left his wallet in the car
The chief that_the girl thanked was too late for the bus
The sailor that_the banker pushed hurt his foot in the brawl
The bloke that_the mum helped gave a gift to say thanks
The dad that_the chef knew had a son with a limp
The dancer that_the guy liked was a chef in the city
The kid that_the dad followed had some mud on his shoes
The monk that_the wife liked put a stone in the basket
The vet that_the Dad helped left the house in a hurry
The lion that_the goat saw drank some water from the stream
The creep that_the clown noticed had a scratch on his chin
The judge that_the poet thanked put a note on the desk
The cop that_the snitch thanked hurt her hand in the fight
The fraud that_the duke helped had a sip from his glass
The bro that_the brat heard broke the vase on the shelf
The men that_the crew blamed had some lunch on the job
The jock that_the kid phoned wore a watch that was new
The wolf that_the bear chased had some blood on its fur
The elf that_the dwarf fought left the room full of anger
The punk that_the boss liked had a son in the school
The mayor that_the crowd followed was not happy with the result
The niece that_the date liked lit the candle on the table
The guard that_the chef mocked had a scar on her ankle
The puppy that_the goat nudged dug a hole in the grass
The guy that_the bard helped had a date on that night
The ghoul that_the goth loved told a joke to their friends
The spouse that_the teen thanked was too late for the meeting
The geek that_the crook blamed closed the door with the switch
The chap that_the gent saw had a rose in his jacket
The lady that_the baker helped had a head of brown hair
The beast that_the witch heard had a plan that was evil
The mug that_the plate chipped was too old for the shop
The coin that_the knife scratched had a price that was high
The coach that_the kid called had a voice that was strange
The clown that_the geek knew had a party on that day
The poet that_the maid blamed wrote a letter to the mayor
The girl that_the boy pushed had a grudge that was strong
The wife that_the cop knew poured a glass of cold water
The bride that_the man loved made a note of what happened
The duke that_the Queen warned fought the man in the castle
The host that_the bloke pleased had a friend that was near
The liar that_the scout knew left the house in a fury
The vet that_the liar saw wore a hat on her head
